id,tm_r_sc,pos1_r_sc,pos2_r_sc,pos3_r_sc,pos4_r_sc,pos5_r_sc,tm_d_sc,pos1_d_sc,pos2_d_sc,pos3_d_sc,pos4_d_sc,pos5_d_sc,a_result
206,1.83720930232558,1.83720930232558,0.837209302325581,0.837209302325581,1.63720930232558,1.63720930232558,2.08474576271186,3.08474576271186,3.08474576271186,2.64030131826742,2.75141242937853,2.79903147699758,0
207,2.08474576271186,1.4180790960452,1.08474576271186,2.08474576271186,2.75141242937853,2.79903147699758,2.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,0
208,1.83720930232558,1.50387596899225,0.837209302325581,1.83720930232558,1.50387596899225,0.837209302325581,2.08474576271186,3.08474576271186,3.08474576271186,2.08474576271186,3.08474576271186,3.08474576271186,0
209,1.95238095238095,1.61904761904762,0.952380952380952,0.952380952380952,1.95238095238095,0.952380952380952,1.92307692307692,2.92307692307692,2.25641025641026,1.42307692307692,1.72307692307692,2.92307692307692,0
210,1.95238095238095,0.952380952380952,0.952380952380952,0.952380952380952,0.952380952380952,1.95238095238095,1.92307692307692,2.42307692307692,2.25641025641026,2.25641025641026,2.92307692307692,1.92307692307692,0
211,2.76923076923077,3.26923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,2.0,1.0,1.0,2.5,2.0,2.0,1
212,2.76923076923077,3.26923076923077,3.76923076923077,3.76923076923077,3.1025641025641,3.76923076923077,2.0,1.0,1.8,1.66666666666667,1.66666666666667,2.0,1
213,2.0,1.0,1.0,1.0,1.0,1.0,1.92307692307692,2.42307692307692,2.92307692307692,1.58974358974359,2.12307692307692,1.72307692307692,0
214,2.0,1.0,1.0,2.33333333333333,1.0,1.0,1.92307692307692,2.42307692307692,2.92307692307692,1.92307692307692,2.92307692307692,1.92307692307692,0
215,1.83720930232558,0.837209302325581,0.837209302325581,0.837209302325581,1.50387596899225,1.83720930232558,2.0,2.33333333333333,2.0,2.33333333333333,2.27272727272727,3.0,0
216,1.83720930232558,1.50387596899225,0.837209302325581,0.837209302325581,1.83720930232558,1.83720930232558,2.0,2.33333333333333,3.0,2.0,2.27272727272727,3.0,0
217,1.94117647058824,0.941176470588235,1.27450980392157,0.941176470588235,1.44117647058824,1.94117647058824,2.0,3.0,2.0,2.2,2.14285714285714,3.0,0
